Song,Quadrant,AllMusic Id,AllMusic Extraction Date,Artist,Title,Relevance,Year,LowestYear,Duration,Moods,MoodsAll,MoodsAllWeights,Genres,GenreWeights,Themes,ThemeWeights,Styles,StyleWeights,AppearancesTrackIDs,AppearancesAlbumIDs,Sample,SampleURL,ActualYear,num_Genres,num_MoodsAll
MT0001193971,Q3,MT0001193971,Old,Travis Tritt,No Vacation from the Blues,1.0379335,12/04/1994,12/04/1994,302.0,"Anguished/Distraught,Rowdy","Anguished/Distraught,Confident,Plaintive,Reflective,Rousing,Rowdy,Yearning","5,5,6,6,8,8,9",Country,8,"Breakup,D-I-V-O-R-C-E,Drinking,Heartache","5,9,9,9","Contemporary Country,New Traditionalist","4,8","MT0001193971,MT0041152852","MW0000115055,MW0000115055",1.0,http://rovimusic.rovicorp.com/playback.mp3?c=4N1DltlBeOZq-3upwZPEMM2KXJKuJLE7UG4BJXcyKZ4=&f=J,1994,,
MT0001194164,Q3,MT0001194164,Old,Bob Dylan,What Good Am I?,1.0653025,22/09/1989,22/09/1989,284.0,"Autumnal,Bittersweet,Brooding,Intimate,Literate,Melancholy,Plaintive,Poignant,Reflective,Sad,Somber,Weary,Wistful,Yearning","Autumnal,Bittersweet,Brooding,Intimate,Literate,Melancholy,Plaintive,Poignant,Reflective,Sad,Somber,Weary,Wistful,Yearning","9,9,9,9,9,9,9,9,9,9,9,9,9,9",Pop/Rock,9,"Awareness,Biographical,Destiny,Feeling Blue,In Love,Introspection,Late Night,Loss/Grief,Night Driving,Pain,Reflection,Relationships,Solitude,Sorrow,Stay in Bed","5,5,5,5,5,5,5,9,9,9,9,9,9,9,9","Album Rock,Contemporary Pop/Rock,Singer/Songwriter","9,9,9","MT0001194164,MT0003382889,MT0005740318,MT0006436061,MT0006443236,MT0013516311,MT0014542147,MT0015310398,MT0028326267,MT0028344067,MT0031577336,MT0032653690,MT0048135412,MT0048570760,MT0048910324","MW0000314104,MW0000454284,MW0000454284,MW0000654200,MW0000654200,MW0000654200,MW0000654200,MW0000656095,MW0000656095,MW0000656095,MW0000745393,MW0001190099,MW0002583484,MW0002618311,MW0002618311",1.0,http://rovimusic.rovicorp.com/playback.mp3?c=_0yuIP2KvE_Y4KtAXrL8LqwfpsQHuOlGC4-o-yXc8Os=&f=J,1989,,
MT0001195535,Q4,MT0001195535,Old,Willie Nelson,I've Loved You All Over the World,1.050381,01/09/1998,01/09/1998,258.0,"Carefree,Cheerful,Dreamy,Nostalgic,Optimistic,Positive,Striding,Sweet,Swinging","Carefree,Cheerful,Dreamy,Nostalgic,Optimistic,Positive,Striding,Sweet,Swinging","5,5,5,5,5,5,5,5,5","Country,International,Pop/Rock","5,5,5","Friendship,Passion,Promises","5,5,5","Adult Contemporary,Central European Traditions,German,Singer/Songwriter","5,5,5,5","MT0001195535,MT0044821409","MW0000042113,MW0000042113",1.0,http://rovimusic.rovicorp.com/playback.mp3?c=c5KZxaFKTi7Mm6O3r-j6rvKUU23ZQzDPVjJ3ONioHGo=&f=J,1998,,
MT0001202986,Q1,MT0001202986,Old,Elvis Presley,One-Sided Love Affair,1.481818,1956-??-??,,131.0,"Bright,Celebratory,Cheerful,Energetic,Fun,Lively,Playful,Rollicking,Rousing,Swaggering,Warm","Bright,Celebratory,Cheerful,Energetic,Fun,Lively,Playful,Rollicking,Rousing,Swaggering,Warm","9,9,9,9,9,9,9,9,9,9,9","Country,Pop/Rock","6,9",,,"Early Pop/Rock,Rock & Roll,Rockabilly,Traditional Country","6,9,9,9","MT0001186429,MT0001202986,MT0001720154,MT0003193898,MT0003564655,MT0005001027,MT0006077659,MT0006729835,MT0007027848,MT0008387805,MT0008520527,MT0009828673,MT0009980725,MT0010020749,MT0010296922,MT0010658125,MT0010700421,MT0011157137,MT0011248872,MT0011552856,MT0011769466,MT0012000309,MT0014094791,MT0015656497,MT0017074689,MT0017691955,MT0017989933,MT0017994879,MT0018038195,MT0018414528,MT0018570350,MT0018637529,MT0018674767,MT0019725258,MT0020382686,MT0026331453,MT0026382032,MT0026398885,MT0027184154,MT0027700373,MT0028645432,MT0028685782,MT0029565640,MT0029827020,MT0030209202,MT0030389157,MT0030961261,MT0031343341,MT0031564604,MT0033200564,MT0033885278,MT0034572083,MT0035000802,MT0035526485,MT0036254553,MT0038680812,MT0039966075,MT0040804911,MT0041102485,MT0041371896,MT0041515957,MT0041612522,MT0042100439,MT0042124357,MT0042142781,MT0042173480,MT0042481939,MT0042561387,MT0042690665,MT0042740374,MT0043193860,MT0045582710,MT0045668233,MT0046729106,MT0046750180,MT0047374433,MT0047536309,MT0049899289,MT0050198532,MT0050570678,MT0052229206,MT0053034600","MW0000007067,MW0000074478,MW0000074478,MW0000074478,MW0000198617,MW0000198617,MW0000244621,MW0000244621,MW0000504717,MW0000558641,MW0000558641,MW0000558641,MW0000646530,MW0000646530,MW0000646530,MW0000646530,MW0000646530,MW0000646530,MW0000737692,MW0000737692,MW0000737692,MW0000737692,MW0000737692,MW0000737692,MW0000737692,MW0000737692,MW0000737692,MW0000737692,MW0000737692,MW0000809881,MW0000809881,MW0000810663,MW0000810663,MW0000810663,MW0000832821,MW0000847707,MW0000920758,MW0000963766,MW0001014258,MW0001053774,MW0001098014,MW0001169603,MW0001208253,MW0001221039,MW0001226148,MW0001243006,MW0001323017,MW0001451226,MW0001451226,MW0001469914,MW0001475467,MW0001476732,MW0001505039,MW0001570323,MW0001602451,MW0001622067,MW0001622795,MW0001637123,MW0001644813,MW0001671077,MW0001690280,MW0001786869,MW0001956642,MW0001994054,MW0002116366,MW0002121401,MW0002123189,MW0002162370,MW0002173147,MW0002173147,MW0002173147,MW0002183297,MW0002188936,MW0002255262,MW0002275538,MW0002312321,MW0002385544,MW0002400354,MW0002426364,MW0002501604,MW0002664865,MW0002909967",1.0,http://rovimusic.rovicorp.com/playback.mp3?c=W75BLdSZcqX-7q-u5lYU6_3pqi0RS20pHqZddGAWQOA=&f=J,1956,,
MT0001217651,Q1,MT0001217651,Old,Choppa,Choppa Style,1.0844972,04/03/2003,04/03/2003,264.0,"Happy,Rousing,Sexual,Swaggering","Happy,Rousing,Sexual,Swaggering","7,7,7,7",Rap,7,,,"Hardcore Rap,Pop-Rap","7,7","MT0001217651,MT0005574865,MT0034172780","MW0000593580,MW0000593580,MW0000593580",1.0,http://rovimusic.rovicorp.com/playback.mp3?c=i3Gf4b1g3H0KuRefG16CdKwfpsQHuOlGC4-o-yXc8Os=&f=J,2003,,
MT0001227219,Q4,MT0001227219,Old,Count Basie,How Long Blues,1.0718902,,,,"Amiable/Good-Natured,Elegant,Gentle,Innocent,Intimate,Laid-Back/Mellow,Light,Plaintive,Refined,Reflective,Relaxed,Sentimental,Sophisticated,Stylish,Warm","Amiable/Good-Natured,Elegant,Gentle,Innocent,Intimate,Laid-Back/Mellow,Light,Plaintive,Refined,Reflective,Relaxed,Sentimental,Sophisticated,Stylish,Warm","4,5,5,5,5,5,5,5,6,7,7,8,9,9,9",Jazz,9,"Dinner Ambiance,Introspection,Relaxation,Reminiscing","9,9,9,9","Early Jazz,Swing","3,9",,,1.0,http://rovimusic.rovicorp.com/playback.mp3?c=sv38cdjdC11Cg0Z8IxHFY5jWf7KriH64XH0cLbjLrOY=&f=J,,,
MT0001230193,Q2,MT0001230193,Old,Biohazard,Trap,1.0294514,11/09/2001,11/09/2001,206.0,"Angry,Harsh,Hostile,Malevolent,Nihilistic,Ominous,Rowdy","Aggressive,Angry,Confrontational,Earnest,Gritty,Harsh,Hostile,Malevolent,Nihilistic,Ominous,Raucous,Rousing,Rowdy,Street-Smart,Volatile","3,4,6,6,6,6,6,6,6,6,6,6,7,8,8",Pop/Rock,9,Late Night,7,"Alternative Metal,Alternative Pop/Rock,Alternative/Indie Rock,Hard Rock,Heavy Metal,Rap-Metal","8,9,9,9,9,9","MT0001230193,MT0005631795,MT0029945411,MT0038738922,MT0044691962","MW0000717664,MW0000717664,MW0000717664,MW0000717664,MW0000717664",1.0,http://rovimusic.rovicorp.com/playback.mp3?c=Ka3GwJAXQIV2jaVOiEHLTPQIxMnXLaW9NvEpt_rvU6E=&f=J,2001,,
MT0001230298,Q3,MT0001230298,Old,Buck Owens,The One You Slip Around With,1.010853,28/08/1961,28/08/1961,149.0,"Anguished/Distraught,Naive","Anguished/Distraught,Bittersweet,Delicate,Earnest,Gentle,Innocent,Intimate,Melancholy,Naive,Plaintive,Refined,Reflective,Sentimental,Smooth,Soft/Quiet,Warm","5,5,5,5,5,5,5,6,6,7,7,7,8,8,9,9",Country,9,"Breakup,Feeling Blue,Heartache,Jealousy","9,9,9,9","Bakersfield Sound,Country-Pop,Honky Tonk,Traditional Country","4,5,6,9",MT0001230298,MW0000596985,1.0,http://rovimusic.rovicorp.com/playback.mp3?c=i9wNuWIWpLwXG-aFzO4K0TqpU4hxl5saPDaNIVORh-E=&f=J,1961,,
MT0001243097,Q4,MT0001243097,New,Alabama,Angels Among Us,,,,249.0,,"Sugary,Relaxed,Innocent,Soothing,Amiable/Good-Natured,Warm,Wistful,Soft/Quiet,Refined,Gentle,Laid-Back/Mellow,Reverent,Lush,Reflective","7,7,7,7,7,8,8,8,8,8,9,9,9,9","Country,Country-Pop","9,9","Relaxation,Reflection,Affirmation","9,9,9",,,,,,,1993,,
MT0001243566,Q1,MT0001243566,Old,Gipsy Kings,Poquito a Poco,1.0313758,02/10/2001,02/10/2001,192.0,"Cathartic,Fiery,Sexy,Spicy","Bravado,Bright,Cathartic,Celebratory,Confident,Dramatic,Energetic,Fiery,Freewheeling,Intense,Lively,Passionate,Rousing,Sexy,Spicy,Urgent,Yearning","6,7,7,7,7,7,7,8,8,8,8,8,8,9,9,9,9","International,Jazz","5,9","Dinner Ambiance,In Love,New Love","9,9,9","Contemporary Flamenco,Flamenco,Spanish Folk,Western European Traditions,World Fusion,Worldbeat","5,7,7,8,9,9","MT0001243566,MT0005026972,MT0017266043,MT0018613817","MW0000014557,MW0000014557,MW0000014557,MW0001599652",1.0,http://rovimusic.rovicorp.com/playback.mp3?c=YoIF6ryLBvBp99pX1wXcAGjIb8Tr8vVfGLIuM5x_WSg=&f=J,2001,,
MT0001253889,Q3,MT0001253889,Old,Autechre,Maetl,1.0282209,1993-??-??,1993-??-??,392.0,"Brittle,Clinical,Detached,Trippy","Atmospheric,Brittle,Clinical,Detached,Dreamy,Hypnotic,Nocturnal,Quirky,Relaxed,Slick,Sophisticated,Trippy","7,7,7,7,7,8,8,8,8,8,8,8",Electronic,9,"Background Music,Late Night,Night Driving,The Creative Side","7,8,8,8","Ambient Techno,Experimental Techno,IDM,Techno","8,9,9,9","MT0001253889,MT0002581211,MT0007406073,MT0043671002","MW0000111215,MW0000111215,MW0000111215,MW0000111215",1.0,http://rovimusic.rovicorp.com/playback.mp3?c=4X_2LOZTsAsc4ugpPMDqSIapJnH0KBK7tayJ1L1z1aM=&f=J,1993,,
MT0001256033,Q3,MT0001256033,Old,Arab Strap,One Four Seven One,1.0186493,06/06/2000,06/06/2000,328.0,"Austere,Bleak,Gloomy,Snide","Austere,Bleak,Brooding,Gloomy,Intimate,Laid-Back/Mellow,Melancholy,Plaintive,Restrained,Snide,Somber","5,6,6,6,6,6,6,6,6,6,6",Pop/Rock,9,Heartache,5,"Alternative/Indie Rock,Indie Rock,Sadcore,Slowcore","7,9,9,9","MT0001256033,MT0043343273,MT0045470719","MW0000068463,MW0000068463,MW0000068463",1.0,http://rovimusic.rovicorp.com/playback.mp3?c=9k0-P14ojU_zgtI8qafVXWjIb8Tr8vVfGLIuM5x_WSg=&f=J,2000,,
MT0001265984,Q3,MT0001265984,Old,Elton John,American Triangle,1.0477173,02/10/2001,02/10/2001,289.0,Sad,Sad,7,Pop/Rock,5,"Feeling Blue,Loss/Grief","7,7","Adult Contemporary,Singer/Songwriter","5,5","MT0001083735,MT0001265984,MT0012656115,MT0017476684,MT0018412058,MT0038925804,MT0043291906,MT0044688809,MT0045396816,MT0045555100","MW0000013698,MW0000013698,MW0000013698,MW0000013698,MW0000013698,MW0000013698,MW0000013698,MW0000013698,MW0000013698,MW0001278074",1.0,http://rovimusic.rovicorp.com/playback.mp3?c=Ztc3nB_rT4NcwJ6oC1kO_jqpU4hxl5saPDaNIVORh-E=&f=J,2001,,
MT0001266436,Q3,MT0001266436,Old,Eels,Restraining Order Blues,1.0456626,03/06/2003,,191.0,"Calm/Peaceful,Lonely,Restrained","Calm/Peaceful,Lonely,Restrained,Sentimental,Yearning","5,5,5,5,5",Pop/Rock,5,,,"Alternative Pop/Rock,Alternative/Indie Rock","5,5","MT0001266436,MT0006023609,MT0043601661,MT0044557849,MT0052487914,MT0052558477","MW0000028234,MW0000028234,MW0000028234,MW0000028234,MW0000028234,MW0002867382",1.0,http://rovimusic.rovicorp.com/playback.mp3?c=Oo_dITZktOQRWyyGBV0yOzqpU4hxl5saPDaNIVORh-E=&f=J,2003,,
MT0001267997,Q4,MT0001267997,Old,Arnett Cobb,When I Grow Too Old to Dream,1.0303106,2000-??-??,2000-??-??,315.0,"Effervescent,Nostalgic,Precious,Stately,Weary","Amiable/Good-Natured,Boisterous,Carefree,Confident,Dramatic,Earnest,Earthy,Effervescent,Freewheeling,Fun,Gritty,Innocent,Laid-Back/Mellow,Literate,Melancholy,Nostalgic,Passionate,Playful,Precious,Refined,Reflective,Searching,Self-Conscious,Sophisticated,Stately,Street-Smart,Stylish,Swaggering,Warm,Weary,Whimsical,Wistful,Witty,Wry,Yearning","5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8","Blues,Jazz","7,9","Affirmation,Comfort,Cool & Cocky,Empowering,Feeling Blue,Freedom,Introspection,Mischievous,Motivation,Playful,Reflection,Reminiscing,Sports,The Creative Side,The Great Outdoors,Victory","5,5,5,5,5,6,6,7,7,7,7,7,7,7,8,8","Early Jazz,Jazz Instrument,Jump Blues,Mainstream Jazz,Saxophone Jazz,Soul Jazz","5,5,7,7,9,9",MT0001267997,MW0000085670,1.0,http://rovimusic.rovicorp.com/playback.mp3?c=5FTl92b-rMtG2bofLykwPGjIb8Tr8vVfGLIuM5x_WSg=&f=J,2000,,
MT0001276044,Q2,MT0001276044,Old,Easy Rider,When the Thousand,1.0107726,03/09/2002,03/09/2002,184.0,"Negative,Nervous/Jittery","Aggressive,Belligerent,Lively,Negative,Nervous/Jittery,Pulsing,Strong","5,5,5,5,5,5,5","Electronic,International,Pop/Rock","5,5,5",,,"Club/Dance,Heavy Metal,Progressive Metal","5,5,5",MT0001276044,MW0000661884,1.0,http://rovimusic.rovicorp.com/playback.mp3?c=rh18_QA9_iAVf6gwEDu-HfQIxMnXLaW9NvEpt_rvU6E=&f=J,2002,,
MT0001277283,Q3,MT0001277283,Old,Alice in Chains,Brother,1.0895708,30/07/1996,1992-02-??,327.0,"Autumnal,Bitter,Bleak,Brooding,Eerie,Gloomy,Melancholy,Reflective,Somber,Visceral,Wistful","Autumnal,Bitter,Bleak,Brooding,Eerie,Gloomy,Melancholy,Reflective,Somber,Visceral,Wistful","4,5,5,6,7,7,7,7,7,8,9",Pop/Rock,6,"Awareness,Biographical,Despair,Loneliness,Relationships,Yearning","5,5,5,5,5,5","Alternative Metal,Alternative Pop/Rock,Alternative/Indie Rock,Grunge,Hard Rock,Heavy Metal","4,5,5,6,6,6","MT0000913683,MT0001277283,MT0006690730,MT0008782905,MT0009840960,MT0011643087,MT0015595170,MT0027819050,MT0031469475,MT0032151160,MT0032963309,MT0034430047,MT0036432372,MT0039496049,MT0039744792,MT0040244254,MT0041008759,MT0041333374,MT0041968432,MT0042166972,MT0042166984,MT0042172384,MT0043618687,MT0043655258,MT0048557263","MW0000183677,MW0000183677,MW0000183677,MW0000183677,MW0000183677,MW0000183677,MW0000183677,MW0000183677,MW0000183677,MW0000183677,MW0000571655,MW0000571655,MW0000571655,MW0000571655,MW0000667665,MW0000679087,MW0000679087,MW0000679087,MW0000954229,MW0000954229,MW0001449574,MW0001449574,MW0001449574,MW0002206727,MW0002206727",1.0,http://rovimusic.rovicorp.com/playback.mp3?c=pv2JayvTEciqjmQVogupAM2KXJKuJLE7UG4BJXcyKZ4=&f=J,1996,,
MT0001284282,Q1,MT0001284282,Old,Madonna,Like a Virgin [Extended Dance Remix],1.0385218,12/11/1984,12/11/1984,369.0,"Celebratory,Irreverent,Provocative,Sensual,Sexy,Witty","Brash,Bright,Celebratory,Confident,Energetic,Irreverent,Lively,Playful,Provocative,Sensual,Sexy,Stylish,Witty","5,6,6,7,7,7,8,8,8,8,8,8,8","Electronic,Pop/Rock","7,9","Club,Girls Night Out,Hanging Out,Partying,Seduction,Sex,Summer","4,5,5,6,7,9,9","Adult Contemporary,Club/Dance,Contemporary Pop/Rock,Dance-Pop","6,7,9,9","MT0001284282,MT0043796528","MW0000190879,MW0002311620",1.0,http://rovimusic.rovicorp.com/playback.mp3?c=Qk5H1_Kn5mEMzWhPoKptKc2KXJKuJLE7UG4BJXcyKZ4=&f=J,1984,,
MT0001284801,Q3,MT0001284801,Old,Billie Holiday,Jim,1.0377605,12/12/1995,1995-??-??,186.0,"Gloomy,Restrained,Sad,Somber,Weary","Bittersweet,Dramatic,Elegant,Gloomy,Intimate,Laid-Back/Mellow,Melancholy,Poignant,Refined,Restrained,Sad,Somber,Weary","7,7,7,7,8,8,8,8,8,9,9,9,9","Blues,Jazz,Vocal","9,9,9","Feeling Blue,Heartache,Introspection,Regret","9,9,9,9","Classic Female Blues,Swing,Torch Songs,Traditional Pop,Vocal Jazz","7,8,9,9,9","MT0001284801,MT0008602504,MT0012674564,MT0012708350,MT0014081348,MT0027793448,MT0032175130,MT0035216484","MW0000012053,MW0000012053,MW0000081553,MW0000081553,MW0000531558,MW0000764851,MW0001009020,MW0001239600",1.0,http://rovimusic.rovicorp.com/playback.mp3?c=SCWTBe6v5Dh36QEGmsjKqv3pqi0RS20pHqZddGAWQOA=&f=I,1995,,
MT0001287647,Q2,MT0001287647,Old,Riverboat Gamblers,Ice Water,1.0223349,03/06/2003,03/06/2003,185.0,"Cynical/Sarcastic,Hedonistic,Nihilistic,Reckless,Sleazy,Trashy","Aggressive,Brash,Cynical/Sarcastic,Dramatic,Energetic,Freewheeling,Fun,Gritty,Hedonistic,Irreverent,Nihilistic,Passionate,Raucous,Reckless,Rousing,Rowdy,Sleazy,Swaggering,Trashy","4,5,6,6,6,7,7,7,7,8,8,8,8,8,9,9,9,9,9",Pop/Rock,7,"Cool & Cocky,Drinking,Empowering,Late Night","7,7,9,9","Alternative/Indie Rock,Garage Rock Revival,Hard Rock,Punk Revival","3,6,6,7",MT0001287647,MW0000034285,1.0,http://rovimusic.rovicorp.com/playback.mp3?c=ELm8LSa740DNvknF0ohDLvQIxMnXLaW9NvEpt_rvU6E=&f=J,2003,,
MT0001289749,Q1,MT0001289749,Old,Tito Puente,Ran Kan Kan,1.031685,1991-??-??,1991-??-??,0.0,"Brassy,Exciting,Giddy,Gleeful,Joyous,Spicy","Aggressive,Amiable/Good-Natured,Boisterous,Brash,Brassy,Bright,Carefree,Celebratory,Cheerful,Confident,Energetic,Exciting,Exuberant,Fun,Giddy,Gleeful,Joyous,Lively,Playful,Rousing,Smooth,Sophisticated,Spicy,Stylish,Summery,Sweet,Warm","5,5,5,6,6,6,6,6,6,6,7,7,7,7,7,7,8,8,8,8,9,9,9,9,9,9,9","Jazz,Latin","7,9","Celebration,Freedom,Motivation,Partying,Small Gathering,TGIF","7,9,9,9,9,9","Afro-Cuban Jazz,Big Band,Cuban Jazz,Cuban Traditions,Latin Big Band,Latin Jazz,Mambo,World Fusion","5,6,7,7,7,9,9,9","MT0001289749,MT0006965984,MT0038341133","MW0000272926,MW0000272926,MW0000272926",1.0,http://rovimusic.rovicorp.com/playback.mp3?c=XpZESevBWdweRmQtTEXGdZjWf7KriH64XH0cLbjLrOY=&f=J,1991,,
MT0001292451,Q1,MT0001292451,Old,Perry Como,Dig You Later,1.0372292,01/01/2000,,0.0,"Brassy,Exciting,Giddy,Gleeful,Happy,Humorous,Whimsical","Amiable/Good-Natured,Boisterous,Brassy,Carefree,Cheerful,Exciting,Exuberant,Freewheeling,Fun,Giddy,Gleeful,Happy,Humorous,Light,Playful,Rousing,Warm,Whimsical","6,7,7,7,7,7,8,8,8,8,8,8,9,9,9,9,9,9",Vocal,9,,,"Traditional Pop,Vocal Pop","9,9","MT0001292451,MT0009189854,MT0015299905,MT0019015186,MT0020414032,MT0034392500,MT0036234675,MT0042652314,MT0043483032,MT0043586038,MT0043691351,MT0043950751,MT0046715885","MW0000056278,MW0000056278,MW0000223129,MW0000223129,MW0001021726,MW0001047321,MW0001160911,MW0001191625,MW0001785128,MW0001992576,MW0002272144,MW0002338674,MW0002501026",1.0,http://rovimusic.rovicorp.com/playback.mp3?c=EINCRxIbs4U5b0qh-iy8vpjWf7KriH64XH0cLbjLrOY=&f=I,2000,,
MT0001297031,Q3,MT0001297031,Old,Elbow,Station Approach,1.0739498,27/09/2005,,262.0,"Autumnal,Bittersweet,Brooding,Cathartic,Gloomy,Intimate,Melancholy,Passionate,Poignant,Reflective,Searching,Sentimental,Wistful,Yearning","Autumnal,Bittersweet,Brooding,Cathartic,Gloomy,Intimate,Melancholy,Passionate,Poignant,Reflective,Searching,Sentimental,Wistful,Yearning","3,4,4,5,5,5,6,6,7,8,8,8,8,9",Pop/Rock,9,"Introspection,Rainy Day,Reflection,Solitude,Stay in Bed,Sunday Afternoon","5,5,5,5,5,5","Alternative/Indie Rock,Britpop,Dream Pop","4,9,9","MT0001297031,MT0002763194,MT0005706048,MT0014769754,MT0028118379,MT0032356727,MT0034079422,MT0041648242,MT0042342051,MT0042342073,MT0044746986,MT0046126475,MT0048023882,MT0048316927,MT0048316942,MT0048782226,MT0048811391","MW0000410654,MW0000410654,MW0000410654,MW0000410654,MW0000410654,MW0000410654,MW0000410654,MW0000410654,MW0000410654,MW0000410654,MW0000410654,MW0002166439,MW0002436365,MW0002585297,MW0002602794,MW0002602794,MW0002602794",1.0,http://rovimusic.rovicorp.com/playback.mp3?c=VxVwAngimy71OW14vGPn66wfpsQHuOlGC4-o-yXc8Os=&f=J,2005,,
MT0001298241,Q3,MT0001298241,Old,Lou Reed,Modern Dance,1.0469809,04/04/2000,,249.0,"Agreeable,Calm/Peaceful,Lonely,Restrained","Agreeable,Calm/Peaceful,Lonely,Restrained","5,5,5,5",Pop/Rock,5,"Awareness,Biographical,Dance Party,Relationships,Travel,Wisdom,World View","5,5,5,5,5,5,5","Adult Contemporary,Album Rock,Alternative Pop/Rock,Alternative/Indie Rock,Contemporary Pop/Rock,Hard Rock,Proto-Punk,Rock & Roll,Singer/Songwriter","5,5,5,5,6,8,9,9,9","MT0001298241,MT0006926577,MT0011432866,MT0014525280,MT0014678700,MT0038749558,MT0041975752,MT0043498252,MT0046382736,MT0048780971,MT0050779918,MT0052464630,MT0052524574","MW0000056894,MW0000056894,MW0000056894,MW0000056894,MW0001018559,MW0001018559,MW0001424629,MW0001424629,MW0002477161,MW0002612693,MW0002764649,MW0002877429,MW0002877429",1.0,http://rovimusic.rovicorp.com/playback.mp3?c=5pG2hiv68S98LiQyVaL7sM2KXJKuJLE7UG4BJXcyKZ4=&f=J,2000,,
MT0001301827,Q4,MT0001301827,Old,Etta James,Love Letters,1.0397437,21/08/2001,21/08/2001,239.0,"Agreeable,Calm/Peaceful,Dreamy,Nostalgic,Sensual","Agreeable,Calm/Peaceful,Dreamy,Nostalgic,Sensual,Sentimental","5,5,5,5,5,5","Blues,Jazz,R&B","10,5,5",In Love,7,Soul-Blues,6,"MT0001301827,MT0033723095,MT0042354722,MT0042643165,MT0042757212,MT0047595213","MW0000590370,MW0001664352,MW0002222794,MW0002222794,MW0002278844,MW0002278844",1.0,http://rovimusic.rovicorp.com/playback.mp3?c=Hx-iLXailm7E1rmccPe6kqwfpsQHuOlGC4-o-yXc8Os=&f=J,2001,,
MT0001302466,Q3,MT0001302466,Old,Depeche Mode,I Am You,1.0427175,15/05/2001,15/05/2001,310.0,"Brooding,Gloomy,Melancholy","Brooding,Gloomy,Intimate,Laid-Back/Mellow,Melancholy,Reflective","5,5,5,5,5,8","Electronic,Pop/Rock","6,9","Late Night,Reflection,Relaxation,Solitude","5,5,5,9","Alternative Pop/Rock,Alternative/Indie Rock,Club/Dance","6,9,9","MT0000403939,MT0001302466,MT0006525076,MT0016937807,MT0028206675,MT0029545824,MT0031968414,MT0047625428,MT0048056488,MT0049182766","MW0000000268,MW0000000268,MW0000000268,MW0000000268,MW0000000268,MW0000000268,MW0000000268,MW0000000268,MW0000000268,MW0000000268",1.0,http://rovimusic.rovicorp.com/playback.mp3?c=O1OsB-zTYEfOrCnQ1Z5kMpjWf7KriH64XH0cLbjLrOY=&f=J,2001,,
MT0001305231,Q4,MT0001305231,Old,Chris Botti,Do It in Luxury,1.0411611,30/09/2003,30/09/2003,225.0,"Calm/Peaceful,Indulgent,Innocent,Lazy,Light,Literate,Meandering,Melancholy,Precious,Soothing","Amiable/Good-Natured,Calm/Peaceful,Dramatic,Earnest,Earthy,Elegant,Indulgent,Innocent,Intimate,Laid-Back/Mellow,Lazy,Light,Literate,Meandering,Melancholy,Passionate,Poignant,Precious,Refined,Reflective,Relaxed,Sentimental,Soothing,Stylish,Warm","7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,9,9,9",Jazz,9,"Affirmation,Background Music,Comfort,Introspection,Reflection","7,7,7,9,9","Contemporary Jazz,Jazz-Funk","9,9",MT0001305231,MW0000319199,1.0,http://rovimusic.rovicorp.com/playback.mp3?c=yTQRLxXA1eAEn_dGKLChz_3pqi0RS20pHqZddGAWQOA=&f=J,2003,,
MT0001305550,Q3,MT0001305550,Old,Bee Gees,Until,1.0425363,05/02/1979,05/02/1979,149.0,"Agreeable,Lonely,Sad","Agreeable,Laid-Back/Mellow,Lonely,Sad,Yearning","5,5,5,5,5","Pop/Rock,R&B","5,9","Dreaming,Feeling Blue,In Love,Pain,Passion,Relationships,Reminiscing,Romance,Yearning","5,5,5,5,5,5,5,5,5","Adult Contemporary,Contemporary Pop/Rock,Disco,Soft Rock","5,9,9,9","MT0001305550,MT0005546167,MT0009755518,MT0046452664,MT0051952123","MW0000200924,MW0000200924,MW0000200924,MW0000200924,MW0002817592",1.0,http://rovimusic.rovicorp.com/playback.mp3?c=Vh8zymPdfQWQ1pWXEAsvu82KXJKuJLE7UG4BJXcyKZ4=&f=J,1979,,
MT0001309422,Q3,MT0001309422,Old,Ernest Tubb,I'm With a Crowd But So Alone,1.0290443,28/09/1999,,201.0,"Anguished/Distraught,Weary","Anguished/Distraught,Bittersweet,Earnest,Earthy,Gentle,Intimate,Laid-Back/Mellow,Melancholy,Organic,Plaintive,Refined,Reflective,Sentimental,Street-Smart,Warm,Weary","5,5,5,5,5,6,6,6,6,7,8,8,8,8,9,9",Country,9,"Feeling Blue,Heartache,Regret","9,9,9","Honky Tonk,Traditional Country","7,9","MT0001309422,MT0004448285,MT0009264543,MT0011868720,MT0012054827,MT0013258706,MT0013261856,MT0017833432","MW0000024195,MW0000176813,MW0000252410,MW0000252410,MW0000313100,MW0000622311,MW0000984224,MW0001436677",1.0,http://rovimusic.rovicorp.com/playback.mp3?c=Kl9GcXTl4trxtv0jj5mYfYapJnH0KBK7tayJ1L1z1aM=&f=J,1999,,
